_pid,_asset_data.original_filename,_doi,title-1:title_sort_portion
cul:05qfttf0mr,pl41_126_063v.tif,doi:10.7916/D8FF593H,Leaf 063 - Verso
cul:j6q573n7fv,pl41_127_064r.tif,doi:10.7916/D86X0TTW,Leaf 064 - Recto
cul:5mkkwh72d3,pl41_128_064v.tif,doi:10.7916/D8BP1KJM,Leaf 064 - Verso
cul:sqv9s4mxwm,pl41_129_065r.tif,doi:10.7916/D8350355,Leaf 065 - Recto
cul:vx0k6djk01,pl41_130_065v.tif,doi:10.7916/D8TQ7JBG,Leaf 065 - Verso
cul:j0zpc868dt,pl41_131_066r.tif,doi:10.7916/D8ZG88ZF,Leaf 066 - Recto
cul:pzgmsbcdp4,pl41_132_066v.tif,doi:10.7916/D8K661WQ,Leaf 066 - Verso
cul:2rbnzs7jpq,pl41_133_067r.tif,doi:10.7916/D8PZ6SN6,Leaf 067 - Recto
cul:kd51c5b1gd,pl41_134_067v.tif,doi:10.7916/D8281RCT,Leaf 067 - Verso
cul:cz8w9ghzq4,pl41_135_068r.tif,doi:10.7916/D89P4JCS,Leaf 068 - Recto
cul:wpzgmsbf2v,pl41_136_068v.tif,doi:10.7916/D8XH1808,Leaf 068 - Verso
cul:xgxd25490g,pl41_137_069r.tif,doi:10.7916/D85X3SQZ,Leaf 069 - Recto
cul:nzs7h44knn,pl41_138_069v.tif,doi:10.7916/D8DF87ZQ,Leaf 069 - Verso
cul:z08kprr6kc,pl41_139_070r.tif,doi:10.7916/D8NZ9RFX,Leaf 070 - Recto
cul:fj6q573prt,pl41_140_070v.tif,doi:10.7916/D8J690PF,Leaf 070 - Verso
cul:8w9ghx3h3z,pl41_141_071r.tif,doi:10.7916/D8SR0H8J,Leaf 071 - Recto
cul:7m0cfxpqfj,pl41_142_071v.tif,doi:10.7916/D88P7HBR,Leaf 071 - Verso
cul:tht76hdsvs,pl41_143_072r.tif,doi:10.7916/D8WH46VG,Leaf 072 - Recto
cul:866t1g1mfx,pl41_144_072v.tif,doi:10.7916/D8184QBS,Leaf 072 - Verso
cul:866t1g1mfz,pl41_145_073r.tif,doi:10.7916/D8515G0M,Leaf 073 - Recto
cul:hqbzkh1b04,pl41_146_073v.tif,doi:10.7916/D8RR3G1T,Leaf 073 - Verso
cul:s1rn8pk28v,pl41_147_074r.tif,doi:10.7916/D8N02Q8Z,Leaf 074 - Recto
cul:n02v6wwrkt,pl41_148_074v.tif,doi:10.7916/D8H71ZJ7,Leaf 074 - Verso
cul:gtht76hgc1,pl41_149_075r.tif,doi:10.7916/D8CG16WS,Leaf 075 - Recto
cul:1g1jwsts4h,pl41_150_075v.tif,doi:10.7916/D87S95HB,Leaf 075 - Verso
cul:rjdfn2z4t3,pl41_151_076r.tif,doi:10.7916/D8418DW8,Leaf 076 - Recto
cul:tx95x69qx0,pl41_152_076v.tif,doi:10.7916/D8M05P51,Leaf 076 - Verso
